priority_rank,extraction_priority,ticker,issuer,sample_decision,policy_relevance,primary_mechanism,secondary_mechanism,confidence,business_text_status,priority_rationale,recommended_next_action,notes
1,tier_1_core,ALTO,"Alto Ingredients, Inc.",keep,core,demand_pull_exposure,subsidy_exposure,medium_high,extracted_batch1,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.,Batch1 manually calibrated anchor.
1,tier_1_core,AMTX,"Aemetis, Inc.",keep,core,credit_market_exposure,compliance_exposure,high,extracted_batch1,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.,Batch1 manually calibrated anchor.
1,tier_1_core,CLMT,"Calumet, Inc.",keep,core,subsidy_exposure,demand_pull_exposure,medium_low,not_extracted_yet,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
1,tier_1_core,DINO,HF Sinclair Corporation,keep,core,demand_pull_exposure,compliance_exposure,medium,not_extracted_yet,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
1,tier_1_core,FF,FutureFuel Corp.,keep,core,subsidy_exposure,compliance_exposure,medium,not_extracted_yet,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
1,tier_1_core,GEVO,"Gevo, Inc.",keep,core,subsidy_exposure,demand_pull_exposure,medium_high,not_extracted_yet,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
1,tier_1_core,GPRE,Green Plains Inc.,keep,core,credit_market_exposure,demand_pull_exposure,medium_high,not_extracted_yet,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
1,tier_1_core,HEOL,"Highwater Ethanol, LLC",keep,core,demand_pull_exposure,credit_market_exposure,medium_low,not_extracted_yet,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
1,tier_1_core,REX,REX American Resources Corporation,keep,core,credit_market_exposure,demand_pull_exposure,medium,not_extracted_yet,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
1,tier_1_core,VLO,Valero Energy Corporation,keep,core,compliance_exposure,demand_pull_exposure,medium,not_extracted_yet,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
2,tier_2_boundary,APD,"Air Products and Chemicals, Inc.",edge,adjacent,demand_pull_exposure,compliance_exposure,medium,extracted_batch1,High-value boundary test between direct fuel-policy exposure and broader refining / transition exposure.,Extract Item 1 Business next and run full manual calibration.,Batch1 manually calibrated anchor.
2,tier_2_boundary,BP,BP p.l.c.,edge,adjacent,demand_pull_exposure,compliance_exposure,medium_low,not_extracted_yet,High-value boundary test between direct fuel-policy exposure and broader refining / transition exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
2,tier_2_boundary,CVI,"CVR Energy, Inc.",edge,adjacent,compliance_exposure,demand_pull_exposure,medium_low,not_extracted_yet,High-value boundary test between direct fuel-policy exposure and broader refining / transition exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
2,tier_2_boundary,CVX,Chevron Corporation,edge,adjacent,demand_pull_exposure,compliance_exposure,medium_low,not_extracted_yet,High-value boundary test between direct fuel-policy exposure and broader refining / transition exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
2,tier_2_boundary,DK,"Delek US Holdings, Inc.",edge,adjacent,compliance_exposure,demand_pull_exposure,medium_low,not_extracted_yet,High-value boundary test between direct fuel-policy exposure and broader refining / transition exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
2,tier_2_boundary,LIN,Linde plc,edge,adjacent,demand_pull_exposure,compliance_exposure,medium_low,not_extracted_yet,High-value boundary test between direct fuel-policy exposure and broader refining / transition exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
2,tier_2_boundary,MPC,Marathon Petroleum Corporation,edge,adjacent,compliance_exposure,demand_pull_exposure,medium_low,not_extracted_yet,High-value boundary test between direct fuel-policy exposure and broader refining / transition exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
2,tier_2_boundary,PARR,"Par Pacific Holdings, Inc.",edge,adjacent,demand_pull_exposure,compliance_exposure,medium_low,not_extracted_yet,High-value boundary test between direct fuel-policy exposure and broader refining / transition exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
2,tier_2_boundary,PBF,PBF Energy Inc.,edge,adjacent,compliance_exposure,demand_pull_exposure,medium_low,not_extracted_yet,High-value boundary test between direct fuel-policy exposure and broader refining / transition exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
2,tier_2_boundary,PSX,Phillips 66,edge,adjacent,compliance_exposure,demand_pull_exposure,medium_low,not_extracted_yet,High-value boundary test between direct fuel-policy exposure and broader refining / transition exposure.,Extract Item 1 Business next and run full manual calibration.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,BLGO,"BioLargo, Inc.",edge,adjacent,compliance_exposure,none_or_weak,low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,CVE,Cenovus Energy Inc.,edge,adjacent,compliance_exposure,demand_pull_exposure,medium_low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,EC,Ecopetrol S.A.,edge,adjacent,compliance_exposure,demand_pull_exposure,medium_low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,EQNR,Equinor ASA,edge,adjacent,demand_pull_exposure,subsidy_exposure,medium_low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,GIII,ReGen III Corp.,edge,adjacent,demand_pull_exposure,compliance_exposure,medium_low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,GLPEY,"Galp Energia, SGPS, S.A.",edge,adjacent,demand_pull_exposure,compliance_exposure,medium_low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,IMO,Imperial Oil Limited,edge,adjacent,compliance_exposure,demand_pull_exposure,medium_low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,LODE,Comstock Inc.,edge,adjacent,subsidy_exposure,demand_pull_exposure,medium_low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,MMEX,MMEX Resources Corporation,edge,adjacent,subsidy_exposure,demand_pull_exposure,low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,NEU,NewMarket Corporation,edge,adjacent,demand_pull_exposure,none_or_weak,medium_low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,PBR,Petróleo Brasileiro S.A. - Petrobras,edge,adjacent,demand_pull_exposure,compliance_exposure,medium_low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,PCCYF,PetroChina Company Limited,edge,adjacent,demand_pull_exposure,compliance_exposure,low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,PTOI,"Plastic2Oil, Inc.",edge,adjacent,demand_pull_exposure,subsidy_exposure,low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,SU,Suncor Energy Inc.,edge,adjacent,compliance_exposure,demand_pull_exposure,medium_low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,TTE,TotalEnergies SE,edge,adjacent,demand_pull_exposure,compliance_exposure,medium_low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,XOM,Exxon Mobil Corporation,edge,adjacent,demand_pull_exposure,compliance_exposure,medium_low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
3,tier_3_adjacent,YPF,YPF Sociedad Anónima,edge,adjacent,demand_pull_exposure,compliance_exposure,low,not_extracted_yet,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.,Preliminary ticker-level calibration before business-text extraction.
4,tier_4_control,BCPC,Balchem Corporation,control,non_core,compliance_exposure,none_or_weak,high,extracted_batch1,Negative-control or generic-regulation text useful for false-positive checks.,Extract selectively for negative-control validation.,Batch1 manually calibrated anchor.
4,tier_4_control,CE,Celanese Corporation,control,non_core,compliance_exposure,none_or_weak,low,not_extracted_yet,Negative-control or generic-regulation text useful for false-positive checks.,Extract selectively for negative-control validation.,Preliminary ticker-level calibration before business-text extraction.
4,tier_4_control,IFF,International Flavors & Fragrances Inc.,control,non_core,none_or_weak,compliance_exposure,low,not_extracted_yet,Negative-control or generic-regulation text useful for false-positive checks.,Extract selectively for negative-control validation.,Preliminary ticker-level calibration before business-text extraction.
4,tier_4_control,OCLN,"OriginClear, Inc.",control,non_core,compliance_exposure,none_or_weak,low,not_extracted_yet,Negative-control or generic-regulation text useful for false-positive checks.,Extract selectively for negative-control validation.,Preliminary ticker-level calibration before business-text extraction.
4,tier_4_control,SXC,"SunCoke Energy, Inc.",control,non_core,compliance_exposure,none_or_weak,low,not_extracted_yet,Negative-control or generic-regulation text useful for false-positive checks.,Extract selectively for negative-control validation.,Preliminary ticker-level calibration before business-text extraction.
4,tier_4_control,SXT,Sensient Technologies Corporation,control,non_core,none_or_weak,compliance_exposure,low,not_extracted_yet,Negative-control or generic-regulation text useful for false-positive checks.,Extract selectively for negative-control validation.,Preliminary ticker-level calibration before business-text extraction.
5,tier_5_drop,PMBY,PMB Aerospace Corporation,drop,non_core,none_or_weak,none_or_weak,low,not_extracted_yet,Low-priority issuer with weak policy fit or likely universe noise.,Do not prioritize unless needed for universe cleaning.,Preliminary ticker-level calibration before business-text extraction. Re-check whether this issuer should remain in universe.
5,tier_5_drop,QREE,"Quantum Energy, Inc.",drop,non_core,none_or_weak,demand_pull_exposure,low,not_extracted_yet,Low-priority issuer with weak policy fit or likely universe noise.,Do not prioritize unless needed for universe cleaning.,Preliminary ticker-level calibration before business-text extraction. Re-check universe inclusion.
