policy,event_date,model,var,coef,se,t,p,n_obs,n_tickers
IRA,2022-08-16,baseline_with_controls,ExpoQuick_it,-0.028968569288184382,0.14839925213450694,-0.19520697625839575,0.84523091785629,3038,35
IRA,2022-08-16,mechanism_with_controls,subsidy_expo_it,-16.925287758827,3.756244359497397,-4.505907001506069,6.609002989060847e-06,3038,35
IRA,2022-08-16,mechanism_with_controls,compliance_expo_it,-2.490819441423503,5.1146410054608955,-0.4869979024459505,0.626259817406045,3038,35
IRA,2022-08-16,mechanism_with_controls,credit_market_expo_it,64.46445861123804,65.70666297902616,0.9810946970753235,0.3265460452563246,3038,35
IRA,2022-08-16,mechanism_with_controls,demand_pull_expo_it,-0.15611610456230315,2.079716246229487,-0.07506606001916882,0.9401621517888098,3038,35
LCFS,2023-01-03,baseline_with_controls,ExpoQuick_it,-0.002479065008255848,0.03179447037059142,-0.07797157742715166,0.9378506620696159,3006,35
LCFS,2023-01-03,mechanism_with_controls,subsidy_expo_it,71.8613799819393,33.05591695326577,2.1739339460326095,0.02971009623658737,3006,35
LCFS,2023-01-03,mechanism_with_controls,compliance_expo_it,2.2051623923216495,1.5024977073566552,1.4676643974393762,0.14219540609828785,3006,35
LCFS,2023-01-03,mechanism_with_controls,credit_market_expo_it,0.7258217618253712,0.6491956102542671,1.1180324548730272,0.26355313236680433,3006,35
LCFS,2023-01-03,mechanism_with_controls,demand_pull_expo_it,-1.5988896958538616,1.6633846967296617,-0.961226647688534,0.3364382205417442,3006,35
RFS2,2021-01-04,baseline_with_controls,ExpoQuick_it,0.5188864974344862,0.36733571535520715,1.41256751179975,0.15778292716331588,2975,35
RFS2,2021-01-04,mechanism_with_controls,subsidy_expo_it,-312.6678744325687,3066.0212666782772,-0.10197837759009173,0.9187738377779545,2975,35
RFS2,2021-01-04,mechanism_with_controls,compliance_expo_it,2.9148596532508053,14.53361931754534,0.20055979103098673,0.8410428012659991,2975,35
RFS2,2021-01-04,mechanism_with_controls,credit_market_expo_it,-2.438394744829805,3.3310036860414485,-0.7320300349855162,0.4641502357668136,2975,35
RFS2,2021-01-04,mechanism_with_controls,demand_pull_expo_it,32.72691871653584,26.94152326657521,1.2147389883161595,0.22446565729583656,2975,35
