policy,model,var,coef,pval,t,nobs,coef_v6,pval_v6,t_v6,coef_diff_v7_minus_v6,pval_diff_v7_minus_v6
IRA,baseline,ExpoQuick_it,-0.21923270706083692,0.0005671022563622946,-3.446879121838328,3038,-0.203467890507442,0.0027620914944033,-2.993044856833605,-0.015764816553394928,-0.0021949892380410054
IRA,mechanism,subsidy_expo_it,-16.816445831236134,0.377834034832634,-0.8818941797034404,3038,-17.304347451470928,0.3334373393932028,-0.9672134508337022,0.4879016202347941,0.0443966954394312
IRA,mechanism,compliance_expo_it,0.5248232628194522,0.884460921872288,0.14531658361427818,3038,0.5188599356851247,0.8824347598626876,0.1478834369626151,0.005963327134327567,0.002026162009600374
IRA,mechanism,credit_market_expo_it,402.36845391927534,0.44473800999287494,0.764216878249746,3038,342.4978736391143,0.5288609127723677,0.6297457987479813,59.87058028016105,-0.08412290277949275
IRA,mechanism,demand_pull_expo_it,-1.8592544063624838,0.16474653640622927,-1.3892835751668584,3038,-1.764354203053044,0.1827086783809323,-1.332461214424273,-0.09490020330943993,-0.017962141974703028
LCFS,baseline,ExpoQuick_it,-0.1761214023760992,0.14412474974981362,-1.460601808318296,3006,-0.1748925030051857,0.1367928974007051,-1.487840745395652,-0.0012288993709134999,0.00733185234910852
LCFS,mechanism,subsidy_expo_it,-23.896259397167697,0.8694637946966193,-0.16433961837788053,3006,-25.63277760049517,0.8585431925031966,-0.1782289275601732,1.7365182033274742,0.010920602193422724
LCFS,mechanism,compliance_expo_it,0.20089524522475954,0.8444871661201963,0.19615714958289776,3006,0.3137293987355767,0.7550016491530525,0.3120511520017163,-0.11283415351081716,0.0894855169671438
LCFS,mechanism,credit_market_expo_it,-0.1701681253875508,0.9498335467101852,-0.0629158081375699,3006,0.0275536554585875,0.9917644790250116,0.0103218781473418,-0.1977217808461383,-0.041930932314826475
LCFS,mechanism,demand_pull_expo_it,-3.1760188770098945,0.1183388498712276,-1.5617841375436536,3006,-3.226618667000925,0.1086013432135162,-1.604511538240493,0.05059978999103043,0.009737506657711406
RFS2,baseline,ExpoQuick_it,-0.05195422025186032,0.9115586288716784,-0.11107278592293685,2975,-0.0418774223996895,0.9264145969689483,-0.0923567550823778,-0.010076797852170818,-0.014855968097269967
RFS2,mechanism,subsidy_expo_it,1487.5855249126178,0.13033145634073148,1.512796113552631,2975,1297.2139650560166,0.20570683307731,1.26545901050997,190.37155985660115,-0.07537537673657851
RFS2,mechanism,compliance_expo_it,-19.022317468410602,0.12632797258618475,-1.52874378748609,2975,-18.922361808073298,0.121636837222034,-1.547939608464434,-0.09995566033730441,0.00469113536415075
RFS2,mechanism,credit_market_expo_it,0.41828740773141254,0.8536315422565278,0.1844868500354953,2975,0.6381073586528249,0.7729983789398797,0.2884551215694115,-0.21981995092141232,0.08063316331664816
RFS2,mechanism,demand_pull_expo_it,9.620283464064098,0.2148404436244895,1.2403649374083652,2975,9.305218203848,0.2102846052507879,1.252783233019387,0.31506526021609815,0.004555838373701604
