policy,event_date,mechanism,window_nonzero_days,window_mean_intensity,window_max_intensity
IRA,2022-08-16,subsidy,11,0.05038167938931296,0.5999999999999999
IRA,2022-08-16,compliance,11,0.010550009786651006,0.1256410256410256
IRA,2022-08-16,credit_market,11,0.0010765316108827542,0.0128205128205128
IRA,2022-08-16,demand_pull,11,0.021961244862008216,0.2615384615384615
LCFS,2023-01-03,subsidy,131,0.000606667488734129,0.0008032821903852
LCFS,2023-01-03,compliance,131,0.005460007398607605,0.0072295397134675
LCFS,2023-01-03,credit_market,131,0.0024266699549366838,0.0032131287615411
LCFS,2023-01-03,demand_pull,131,0.003640004932405053,0.0048196931423117
RFS2,2021-01-04,subsidy,0,0.0,0.0
RFS2,2021-01-04,compliance,0,0.0,0.0
RFS2,2021-01-04,credit_market,0,0.0,0.0
RFS2,2021-01-04,demand_pull,0,0.0,0.0
