sample_set,policy,specification,var,coef,pval,t,nobs,unique_tickers,coef_old,pval_old,t_old,coef_diff_new_minus_old,pval_diff_new_minus_old
main_only,RFS2,baseline,ExpoQuick_it,-0.057845755316341556,0.8669083090486505,-0.16758686018529942,815,11,-0.0578457553163415,0.8669083090486505,-0.1675868601852994,-5.551115123125783e-17,0.0
main_only,RFS2,single_mechanism,subsidy_expo_it,4.2820819396413725,0.8467875306839586,0.19321890879896444,815,11,0.0,,,4.2820819396413725,
main_only,RFS2,single_mechanism,compliance_expo_it,-0.3854731705387874,0.11458839318234768,-1.577900834876364,815,11,0.0,,,-0.3854731705387874,
main_only,RFS2,single_mechanism,credit_market_expo_it,0.09543807002548121,0.530302997809085,0.627543550989934,815,11,0.0,,,0.09543807002548121,
main_only,RFS2,single_mechanism,demand_pull_expo_it,-0.1885251502262315,0.8917210037133466,-0.13612684766064218,815,11,0.0,,,-0.1885251502262315,
main_only,RFS2,joint_mechanism,subsidy_expo_it,-6.0711245068666955,0.823246123536364,-0.2233718342873626,815,11,0.0,,,-6.0711245068666955,
main_only,RFS2,joint_mechanism,compliance_expo_it,-0.13793188637372106,0.5734320444574209,-0.5630041699290518,815,11,1.7252063047717677e-15,0.0704048805307143,1.8092969632454488,-0.13793188637372278,0.5030271639267067
main_only,RFS2,joint_mechanism,credit_market_expo_it,0.33379796122774774,0.23713039641588574,1.1821898064103529,815,11,1.4522693154686907e-16,0.8109930184883524,0.2391451682472641,0.3337979612277476,-0.5738626220724666
main_only,RFS2,joint_mechanism,demand_pull_expo_it,-1.8676803136247362,0.39435153251482935,-0.8517523964967072,815,11,-2.0804061990492066e-15,0.5264288299355186,-0.6334668379879275,-1.8676803136247342,-0.1320772974206893
main_plus_edge,RFS2,baseline,ExpoQuick_it,-0.05195422025186032,0.9115586288716784,-0.11107278592293685,2975,35,-0.0519542202518603,0.9115586288716784,-0.1110727859229368,-2.0816681711721685e-17,0.0
main_plus_edge,RFS2,single_mechanism,subsidy_expo_it,129.02048372281556,0.11053773944844425,1.5957808088209824,2975,35,0.0,,,129.02048372281556,
main_plus_edge,RFS2,single_mechanism,compliance_expo_it,-2.332095644745852,0.13310742547873164,-1.5019600542433198,2975,35,0.0,,,-2.332095644745852,
main_plus_edge,RFS2,single_mechanism,credit_market_expo_it,0.2481385087705748,0.4194716477026733,0.8073382237609371,2975,35,0.0,,,0.2481385087705748,
main_plus_edge,RFS2,single_mechanism,demand_pull_expo_it,-1.1048906850821203,0.5844172153185847,-0.5469439859691284,2975,35,0.0,,,-1.1048906850821203,
main_plus_edge,RFS2,joint_mechanism,subsidy_expo_it,108.72688965108165,0.20730896713424907,1.2609996669725299,2975,35,0.0,,,108.72688965108165,
main_plus_edge,RFS2,joint_mechanism,compliance_expo_it,-2.314766522252881,0.11867026727075776,-1.5603793267188937,2975,35,-1.500816029709746e-15,0.0219559580697714,-2.2911289266775707,-2.3147665222528797,0.09671430920098636
main_plus_edge,RFS2,joint_mechanism,credit_market_expo_it,0.12944806339323417,0.6708659588320158,0.42495982922508796,2975,35,3.731187115845642e-15,0.0656396755811193,1.8408763862178548,0.12944806339323045,0.6052262832508966
main_plus_edge,RFS2,joint_mechanism,demand_pull_expo_it,0.41185409582415333,0.7850985314145189,0.272680882671733,2975,35,5.174475432127773e-16,0.286825362991538,1.065111749285854,0.41185409582415283,0.4982731684229809
