sample_set,policy,specification,var,coef_p23,pval_p23,coef,pval,coef_diff_p25_minus_p23,pval_diff_p25_minus_p23
main_only,RFS2,baseline,ExpoQuick_it,-0.0578457553163415,0.8669083090486505,-0.0578457553163415,0.8669083090486505,0.0,0.0
main_only,RFS2,joint_mechanism,compliance_expo_it,1.7252063047717677e-15,0.0704048805307143,-0.137931886373721,0.5734320444574209,-0.13793188637372272,0.5030271639267067
main_only,RFS2,joint_mechanism,credit_market_expo_it,1.4522693154686907e-16,0.8109930184883524,0.3337979612277477,0.2371303964158857,0.3337979612277475,-0.5738626220724666
main_only,RFS2,joint_mechanism,demand_pull_expo_it,-2.0804061990492066e-15,0.5264288299355186,-1.867680313624736,0.3943515325148293,-1.867680313624734,-0.13207729742068935
main_only,RFS2,joint_mechanism,subsidy_expo_it,0.0,,-6.071124506866696,0.823246123536364,-6.071124506866696,
main_only,RFS2,single_mechanism,compliance_expo_it,0.0,,-0.3854731705387874,0.1145883931823476,-0.3854731705387874,
main_only,RFS2,single_mechanism,credit_market_expo_it,0.0,,0.0954380700254812,0.530302997809085,0.0954380700254812,
main_only,RFS2,single_mechanism,demand_pull_expo_it,0.0,,-0.1885251502262315,0.8917210037133466,-0.1885251502262315,
main_only,RFS2,single_mechanism,subsidy_expo_it,0.0,,4.2820819396413725,0.8467875306839586,4.2820819396413725,
main_plus_edge,RFS2,baseline,ExpoQuick_it,-0.0519542202518603,0.9115586288716784,-0.0519542202518603,0.9115586288716784,0.0,0.0
main_plus_edge,RFS2,joint_mechanism,compliance_expo_it,-1.500816029709746e-15,0.0219559580697714,-2.314766522252881,0.1186702672707577,-2.3147665222528797,0.09671430920098631
main_plus_edge,RFS2,joint_mechanism,credit_market_expo_it,3.731187115845642e-15,0.0656396755811193,0.1294480633932341,0.6708659588320158,0.12944806339323037,0.6052262832508966
main_plus_edge,RFS2,joint_mechanism,demand_pull_expo_it,5.174475432127773e-16,0.286825362991538,0.4118540958241533,0.7850985314145189,0.4118540958241528,0.4982731684229809
main_plus_edge,RFS2,joint_mechanism,subsidy_expo_it,0.0,,108.72688965108163,0.207308967134249,108.72688965108163,
main_plus_edge,RFS2,single_mechanism,compliance_expo_it,0.0,,-2.332095644745852,0.1331074254787316,-2.332095644745852,
main_plus_edge,RFS2,single_mechanism,credit_market_expo_it,0.0,,0.2481385087705748,0.4194716477026733,0.2481385087705748,
main_plus_edge,RFS2,single_mechanism,demand_pull_expo_it,0.0,,-1.1048906850821203,0.5844172153185847,-1.1048906850821203,
main_plus_edge,RFS2,single_mechanism,subsidy_expo_it,0.0,,129.02048372281556,0.1105377394484442,129.02048372281556,
